"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-1273c ",3,4,3,15,6,11
"hsa-miR-1275 ",2,4,2,9,1,10
"hsa-miR-1276 ",0,2,0,0,0,0
"hsa-miR-1277-3p ",10,4,8,0,8,4
"hsa-miR-1277-5p ",4,7,24,2,16,5
"hsa-miR-1278 ",20,21,42,3,21,27
"hsa-miR-128-1-5p ",11,19,19,39,11,41
"hsa-miR-128-3p ",1859,2086,2061,1513,1616,2460
"hsa-miR-1283 ",0,1,0,0,0,0
"hsa-miR-1284 ",2,3,1,0,4,2
"hsa-miR-1285-3p ",39,48,26,94,38,112
"hsa-miR-1285-5p ",0,1,1,3,1,5
"hsa-miR-1287-3p ",0,2,2,1,1,1
"hsa-miR-1287-5p ",171,206,127,650,132,325
"hsa-miR-1288-3p ",0,0,0,3,3,1
"hsa-miR-1289 ",1,2,0,3,0,2
"hsa-miR-129-1-3p ",1,1,1,1,0,1
"hsa-miR-129-2-3p ",13,12,19,7,4,13
"hsa-miR-129-5p ",50,65,33,68,13,56
"hsa-miR-1291 ",4,2,1,6,0,2
"hsa-miR-1292-5p ",15,23,13,45,4,19
"hsa-miR-1293 ",0,0,0,1,0,0
"hsa-miR-1294 ",26,37,24,60,13,39
"hsa-miR-1295a ",0,0,0,4,0,0
"hsa-miR-1295b-5p ",0,0,0,4,0,0
"hsa-miR-1296-5p ",206,198,206,87,113,194
"hsa-miR-1299 ",164,201,135,573,42,152
"hsa-miR-1301-3p ",120,117,113,127,63,189
"hsa-miR-1303 ",26,62,29,48,5,35
"hsa-miR-1304-3p ",0,0,0,0,0,1
"hsa-miR-1304-5p ",6,6,13,5,5,21
"hsa-miR-1305 ",6,3,1,4,0,7
"hsa-miR-1306-3p ",0,1,0,0,0,0
"hsa-miR-1306-5p ",19,32,25,45,24,49
"hsa-miR-1307-3p ",544,753,380,2509,234,986
"hsa-miR-1307-5p ",122,189,106,875,70,206
"hsa-miR-130a-3p ",193,272,181,255,230,341
"hsa-miR-130a-5p ",26,32,22,76,20,67
"hsa-miR-130b-3p ",64,95,57,105,41,109
"hsa-miR-130b-5p ",56,60,62,32,53,73
"hsa-miR-132-3p ",189,206,230,166,228,196
"hsa-miR-132-5p ",170,197,123,435,139,317
"hsa-miR-1322 ",0,0,0,4,0,0
"hsa-miR-133a-3p ",5,7,3,16,0,16
"hsa-miR-133a-5p ",7,3,4,18,2,12
"hsa-miR-133b ",1,4,0,7,0,3
"hsa-miR-134-3p ",13,24,17,9,21,17
"hsa-miR-134-5p ",3386,5380,2489,20639,2024,4431
"hsa-miR-1343-3p ",11,13,10,39,8,17
"hsa-miR-135a-5p ",2,1,0,0,0,3
"hsa-miR-135b-3p ",3,0,0,0,5,3
"hsa-miR-135b-5p ",39,17,53,12,209,123
"hsa-miR-136-3p ",2791,3433,3157,506,2207,1577
"hsa-miR-136-5p ",1438,1730,1139,3731,1001,1432
"hsa-miR-137-3p ",153,153,147,20,18,14
"hsa-miR-137-5p ",2,4,2,0,1,0
"hsa-miR-138-1-3p ",58,84,66,70,21,24
"hsa-miR-138-5p ",2401,3439,1771,4684,930,1662
"hsa-miR-139-3p ",0,1,0,0,0,3
"hsa-miR-139-5p ",15,20,10,1,6,23
"hsa-miR-140-3p ",4586,5529,3583,18494,12116,32703
"hsa-miR-140-5p ",5786,5514,6434,2166,10752,15709
"hsa-miR-141-3p ",10,5,3,2,2,16
"hsa-miR-141-5p ",0,0,0,0,0,1
"hsa-miR-142-3p ",11,19,8,39,16,253
"hsa-miR-142-5p ",5,6,1,4,2,42
"hsa-miR-143-3p ",109122,132525,99813,41496,5565,83985
"hsa-miR-143-5p ",2519,3376,2054,1719,115,2407
"hsa-miR-144-3p ",0,0,0,1,0,6
"hsa-miR-144-5p ",1,0,1,2,0,0
"hsa-miR-145-3p ",2200,2491,1975,641,179,2012
"hsa-miR-145-5p ",10737,12171,9918,7377,734,7915
"hsa-miR-1468-5p ",5,4,4,11,3,10
"hsa-miR-146a-3p ",13,10,5,5,0,2
"hsa-miR-146a-5p ",10517,12787,10314,1021,845,3233
"hsa-miR-146b-3p ",41,57,30,476,125,314
"hsa-miR-146b-5p ",1636,1836,1565,4129,4517,4950
"hsa-miR-147b-3p ",15,24,12,75,3,12
"hsa-miR-147b-5p ",14,3,6,0,6,1
"hsa-miR-148a-3p ",156723,152895,213813,44054,193401,185416
"hsa-miR-148a-5p ",803,1134,696,3964,686,1941
"hsa-miR-148b-3p ",5155,5391,6350,1169,5780,5025
"hsa-miR-148b-5p ",1,0,2,1,0,4
"hsa-miR-149-5p ",455,563,370,846,289,489
"hsa-miR-150-3p ",0,0,1,0,0,0
"hsa-miR-150-5p ",2,3,1,6,1,17
"hsa-miR-151a-3p ",9577,12517,9139,17337,9785,17459
"hsa-miR-151a-5p ",603,787,666,867,802,989
"hsa-miR-151b ",23,48,15,129,3,42
"hsa-miR-152-3p ",21071,29403,16806,56010,17385,27573
"hsa-miR-152-5p ",130,172,123,520,94,284
"hsa-miR-153-3p ",1,3,1,0,9,2
"hsa-miR-1538 ",3,1,2,4,0,4
"hsa-miR-154-3p ",188,166,293,8,133,72
"hsa-miR-154-5p ",497,601,451,330,367,260
"hsa-miR-155-3p ",0,0,4,0,0,0
"hsa-miR-155-5p ",3366,3375,4371,568,3662,2462
"hsa-miR-15a-3p ",6,0,3,0,2,1
"hsa-miR-15a-5p ",205,287,220,142,330,299
"hsa-miR-15b-3p ",139,150,186,17,178,134
"hsa-miR-15b-5p ",817,813,1068,298,955,631
"hsa-miR-16-1-3p ",17,35,16,82,19,45
"hsa-miR-16-2-3p ",49,38,65,6,47,75
"hsa-miR-16-5p ",5198,4885,6708,1174,8147,4678
"hsa-miR-17-3p ",26,25,16,201,18,77
"hsa-miR-17-5p ",2844,3041,2684,1828,2256,4802
"hsa-miR-181a-2-3p ",367,417,383,473,251,428
"hsa-miR-181a-3p ",1000,1158,1028,538,281,876
"hsa-miR-181a-5p ",15406,19692,11931,78150,5436,20395
"hsa-miR-181b-2-3p ",2,2,1,0,2,6
"hsa-miR-181b-3p ",16,16,20,2,4,18
"hsa-miR-181b-5p ",1928,2381,1557,4633,721,2521
"hsa-miR-181c-3p ",126,148,102,158,131,142
"hsa-miR-181c-5p ",66,90,53,204,78,129
"hsa-miR-181d-3p ",0,1,1,0,0,0
"hsa-miR-181d-5p ",756,977,595,1608,878,1118
"hsa-miR-182-5p ",24,24,24,16,7,64
"hsa-miR-183-5p ",6,4,11,11,10,22
"hsa-miR-184 ",1,1,7,24,0,1
"hsa-miR-1843 ",3,4,1,3,1,3
"hsa-miR-185-3p ",50,61,58,116,47,88
"hsa-miR-185-5p ",5921,7611,4688,15566,3100,7640
"hsa-miR-186-3p ",0,1,0,2,0,1
"hsa-miR-186-5p ",6490,7375,5579,8736,5716,9633
"hsa-miR-187-3p ",0,2,1,12,4,5
"hsa-miR-188-3p ",1,4,0,4,1,0
"hsa-miR-188-5p ",22,26,27,39,10,35
"hsa-miR-18a-3p ",8,6,7,14,7,19
"hsa-miR-18a-5p ",29,41,44,10,35,90
"hsa-miR-18b-5p ",0,1,0,0,0,2
"hsa-miR-1908-3p ",1,1,1,10,0,1
"hsa-miR-1908-5p ",13,25,14,65,4,46
"hsa-miR-1909-3p ",2,2,0,0,0,0
"hsa-miR-190a-3p ",0,0,0,1,0,0
"hsa-miR-190a-5p ",11,6,17,4,13,16
"hsa-miR-190b-5p ",4,5,4,1,8,7
"hsa-miR-191-3p ",11,10,9,21,8,29
"hsa-miR-191-5p ",37500,43218,32620,43143,30361,43694
"hsa-miR-1910-5p ",0,0,0,0,1,1
"hsa-miR-1913 ",0,1,4,8,2,2
"hsa-miR-1914-5p ",0,2,1,1,0,0
"hsa-miR-1915-5p ",0,0,0,2,0,0
"hsa-miR-192-5p ",243,217,182,179,196,371
"hsa-miR-193a-3p ",44,70,51,203,19,71
"hsa-miR-193a-5p ",1751,2553,1249,6154,920,2451
"hsa-miR-193b-3p ",1442,1776,1306,9182,756,1939
"hsa-miR-193b-5p ",78,110,48,414,46,136
"hsa-miR-194-3p ",1,0,0,0,1,3
"hsa-miR-194-5p ",260,230,176,121,180,301
"hsa-miR-195-3p ",22,22,34,15,31,35
"hsa-miR-195-5p ",248,244,418,93,488,343
"hsa-miR-196a-1-3p ",0,0,0,0,1,0
"hsa-miR-196a-3p ",0,1,0,30,3,3
"hsa-miR-196a-5p ",6264,6537,7465,4240,6666,4707
"hsa-miR-196b-3p ",18,28,13,24,11,22
"hsa-miR-196b-5p ",1924,1610,2443,830,2157,1751
"hsa-miR-197-3p ",1343,1394,1388,2234,1087,1545
"hsa-miR-197-5p ",2,1,2,11,2,1
"hsa-miR-1972 ",1,2,2,2,0,2
"hsa-miR-1973 ",0,0,2,0,0,0
"hsa-miR-199a-3p ",169223,180296,196812,64593,241528,198785
"hsa-miR-199a-5p ",73621,79731,78252,43534,94706,80788
"hsa-miR-199b-3p ",169223,180296,196812,64593,241528,198785
"hsa-miR-199b-5p ",829,901,900,1241,1802,1524
"hsa-miR-19a-3p ",52,39,38,31,55,94
"hsa-miR-19a-5p ",1,0,0,0,0,0
"hsa-miR-19b-1-5p ",0,5,4,22,5,20
"hsa-miR-19b-3p ",420,522,399,974,468,932
"hsa-miR-200a-3p ",99,66,43,54,142,256
"hsa-miR-200a-5p ",2,2,5,3,12,20
"hsa-miR-200b-3p ",113,69,96,56,292,241
"hsa-miR-200b-5p ",2,0,2,0,3,3
"hsa-miR-200c-3p ",96,48,55,46,65,171
"hsa-miR-202-5p ",0,0,0,0,0,1
"hsa-miR-203a-3p ",136,137,118,67,146,113
"hsa-miR-203a-5p ",0,0,0,0,0,2
"hsa-miR-203b-3p ",0,0,0,0,0,2
"hsa-miR-203b-5p ",34,39,31,21,31,46
"hsa-miR-204-3p ",0,0,0,1,0,0
"hsa-miR-204-5p ",2,2,3,0,3,0
"hsa-miR-206 ",0,1,0,7,4,0
"hsa-miR-208b-3p ",0,0,1,0,0,0
"hsa-miR-20a-3p ",2,4,3,1,4,6
"hsa-miR-20a-5p ",3476,2935,4216,292,4075,3674
"hsa-miR-20b-5p ",1,1,0,3,3,9
"hsa-miR-21-3p ",1512,1899,1233,3287,849,2374
"hsa-miR-21-5p ",799625,869673,813708,366102,772849,795042
"hsa-miR-210-3p ",8999,12881,6243,27380,3666,3936
"hsa-miR-210-5p ",112,129,94,156,49,39
"hsa-miR-211-5p ",0,0,0,0,0,2
"hsa-miR-2110 ",23,34,16,139,16,56
"hsa-miR-2114-3p ",0,1,1,0,0,0
"hsa-miR-2114-5p ",1,0,1,3,0,0
"hsa-miR-2115-3p ",0,1,0,0,0,0
"hsa-miR-2115-5p ",0,0,1,0,0,0
"hsa-miR-2116-3p ",3,0,1,7,0,0
"hsa-miR-2116-5p ",0,0,0,0,1,0
"hsa-miR-212-3p ",6,8,5,8,6,9
"hsa-miR-212-5p ",19,24,25,11,10,30
"hsa-miR-214-3p ",1593,1940,1606,4333,1835,2952
"hsa-miR-214-5p ",986,1027,994,1560,1645,2214
"hsa-miR-215-3p ",0,0,1,0,0,0
"hsa-miR-215-5p ",7,0,8,11,6,24
"hsa-miR-216a-3p ",1,1,3,0,1,1
"hsa-miR-216a-5p ",11,16,6,19,1,10
"hsa-miR-216b-5p ",2,1,2,1,0,1
"hsa-miR-217-3p ",0,0,1,0,0,0
"hsa-miR-217-5p ",48,58,43,105,18,49
"hsa-miR-218-5p ",117,103,117,35,139,131
"hsa-miR-219a-1-3p ",4,2,2,11,6,10
"hsa-miR-219a-2-3p ",2,1,2,3,0,1
"hsa-miR-219a-5p ",0,0,0,0,1,0
"hsa-miR-219b-3p ",0,0,0,0,1,0
"hsa-miR-219b-5p ",7,3,1,6,2,7
"hsa-miR-22-3p ",43244,57548,34977,215074,26881,77137
"hsa-miR-22-5p ",1812,2038,1971,1714,1518,2725
"hsa-miR-221-3p ",130159,147835,133448,80682,106979,117256
"hsa-miR-221-5p ",2362,2587,2506,353,3085,1965
"hsa-miR-222-3p ",5115,5745,5345,3956,4820,5016
"hsa-miR-222-5p ",112,121,108,17,58,62
"hsa-miR-223-3p ",1,13,0,1,0,17
"hsa-miR-224-3p ",42,53,59,57,103,53
"hsa-miR-224-5p ",2000,1973,2341,783,2898,1633
"hsa-miR-2276-3p ",0,1,0,5,0,4
"hsa-miR-2276-5p ",0,0,0,3,0,0
"hsa-miR-2277-3p ",0,1,0,0,0,2
"hsa-miR-2277-5p ",59,83,87,54,60,107
"hsa-miR-2278 ",4,0,1,14,2,14
"hsa-miR-2355-3p ",73,87,46,260,68,107
"hsa-miR-2355-5p ",8,6,10,2,9,9
"hsa-miR-23a-3p ",21289,23934,23954,17765,21365,16932
"hsa-miR-23a-5p ",26,19,13,65,38,59
"hsa-miR-23b-3p ",10782,12041,12964,9134,10793,10481
"hsa-miR-23b-5p ",133,181,118,338,105,226
"hsa-miR-23c ",4,6,2,1,4,6
"hsa-miR-24-1-5p ",37,52,42,35,28,65
"hsa-miR-24-2-5p ",40,51,32,18,33,17
"hsa-miR-24-3p ",76342,86249,72042,46590,63628,75528
"hsa-miR-2467-3p ",0,0,0,0,0,1
"hsa-miR-2467-5p ",0,0,0,0,0,1
"hsa-miR-25-3p ",8080,9452,7803,9749,8590,12822
"hsa-miR-25-5p ",3,6,4,25,0,13
"hsa-miR-2681-5p ",0,0,0,1,0,0
"hsa-miR-2682-5p ",39,41,46,0,5,0
"hsa-miR-26a-1-3p ",9,6,16,6,6,7
"hsa-miR-26a-2-3p ",54,54,73,19,122,44
"hsa-miR-26a-5p ",119787,113835,160449,35055,227153,141240
"hsa-miR-26b-3p ",16,20,19,36,18,26
"hsa-miR-26b-5p ",2945,2629,4432,498,5870,2432
"hsa-miR-27a-3p ",74429,70846,93005,17545,84912,51434
"hsa-miR-27a-5p ",1767,2143,1448,3401,2818,4419
"hsa-miR-27b-3p ",151959,164943,186307,67395,190773,184366
"hsa-miR-27b-5p ",445,584,392,1079,464,949
"hsa-miR-28-3p ",4115,5232,3488,12496,4461,9455
"hsa-miR-28-5p ",1645,1948,1486,1456,1682,2795
"hsa-miR-296-3p ",55,91,35,548,49,155
"hsa-miR-296-5p ",57,64,31,35,46,71
"hsa-miR-299-3p ",201,269,181,323,197,235
"hsa-miR-299-5p ",133,170,222,45,148,79
"hsa-miR-29a-3p ",91314,105914,89225,50410,71412,82569
"hsa-miR-29a-5p ",33,53,26,77,32,52
"hsa-miR-29b-1-5p ",58,60,62,49,38,77
"hsa-miR-29b-2-5p ",4,8,3,29,8,12
"hsa-miR-29b-3p ",821,1038,799,3038,810,1660
"hsa-miR-29c-3p ",516,564,421,612,685,671
"hsa-miR-29c-5p ",199,263,162,693,205,338
"hsa-miR-301a-3p ",1,2,2,2,2,8
"hsa-miR-301a-5p ",18,18,27,2,14,34
"hsa-miR-301b-3p ",8,7,9,4,6,15
"hsa-miR-301b-5p ",1,1,0,0,0,0
"hsa-miR-302a-3p ",1,0,1,0,0,0
"hsa-miR-302a-5p ",0,2,2,0,0,0
"hsa-miR-302b-3p ",5,6,5,0,0,0
"hsa-miR-302c-3p ",0,0,1,0,0,0
"hsa-miR-302d-3p ",1,1,2,0,0,0
"hsa-miR-3064-3p ",0,1,0,0,0,0
"hsa-miR-3064-5p ",2,2,1,4,1,1
"hsa-miR-3065-3p ",1,1,1,0,2,5
"hsa-miR-3065-5p ",16,22,12,21,8,56
"hsa-miR-3074-3p ",49,68,68,22,88,78
"hsa-miR-3074-5p ",41307,46802,39679,18119,39543,36474
"hsa-miR-3085-5p ",0,0,0,5,0,0
"hsa-miR-30a-3p ",3765,4226,3618,6145,4127,4632
"hsa-miR-30a-5p ",17183,19392,16291,7961,21947,15945
"hsa-miR-30b-3p ",28,39,25,144,34,54
"hsa-miR-30b-5p ",2389,2391,2953,2114,3789,2493
"hsa-miR-30c-1-3p ",37,44,35,67,41,65
"hsa-miR-30c-2-3p ",521,689,455,1287,477,1020
"hsa-miR-30c-5p ",6647,6127,8417,2319,12896,6239
"hsa-miR-30d-3p ",54,64,39,135,42,109
"hsa-miR-30d-5p ",4799,5350,4771,3097,7565,7249
"hsa-miR-30e-3p ",1178,1119,1456,482,1725,1042
"hsa-miR-30e-5p ",1049,1184,996,647,1536,1473
"hsa-miR-31-3p ",76,79,116,68,89,109
"hsa-miR-31-5p ",2240,2818,2027,1558,2014,2326
"hsa-miR-3115 ",0,1,2,2,0,0
"hsa-miR-3116 ",2,0,1,0,0,0
"hsa-miR-3117-3p ",8,7,10,0,2,0
"hsa-miR-3120-3p ",164,160,147,205,273,308
"hsa-miR-3120-5p ",26,36,17,29,23,32
"hsa-miR-3124-5p ",1,1,0,1,2,1
"hsa-miR-3126-3p ",1,0,0,0,0,1
"hsa-miR-3126-5p ",1,4,1,9,3,3
"hsa-miR-3127-3p ",1,0,1,0,0,2
"hsa-miR-3127-5p ",0,0,0,7,1,2
"hsa-miR-3128 ",3,0,0,0,2,2
"hsa-miR-3129-3p ",26,19,19,14,40,33
"hsa-miR-3129-5p ",5,5,11,2,2,5
"hsa-miR-3130-3p ",2,0,4,7,2,12
"hsa-miR-3131 ",0,0,0,0,1,1
"hsa-miR-3133 ",3,1,2,1,13,6
"hsa-miR-3134 ",2,2,1,0,1,0
"hsa-miR-3135a ",1,0,0,2,0,1
"hsa-miR-3136-3p ",0,0,0,0,0,1
"hsa-miR-3136-5p ",4,5,6,2,6,6
"hsa-miR-3137 ",0,1,0,1,0,0
"hsa-miR-3138 ",0,0,1,0,0,1
"hsa-miR-3139 ",1,0,0,0,1,1
"hsa-miR-3140-3p ",3,0,1,1,1,2
"hsa-miR-3141 ",0,0,0,2,0,1
"hsa-miR-3142 ",0,1,0,0,0,0
"hsa-miR-3144-3p ",1,2,0,0,0,0
"hsa-miR-3145-3p ",0,0,2,0,1,2
"hsa-miR-3145-5p ",2,0,2,0,0,2
"hsa-miR-3146 ",1,0,1,0,0,1
"hsa-miR-3148 ",0,1,1,0,0,1
"hsa-miR-3149 ",0,0,0,0,1,1
"hsa-miR-3150a-5p ",1,0,0,3,0,0
"hsa-miR-3151-5p ",0,0,1,0,0,0
"hsa-miR-3152-3p ",0,1,0,0,0,1
"hsa-miR-3152-5p ",24,19,22,4,12,37
"hsa-miR-3155a ",1,1,0,1,0,2
"hsa-miR-3155b ",0,0,0,1,0,1
"hsa-miR-3157-3p ",1,2,2,2,3,2
"hsa-miR-3157-5p ",4,3,3,3,3,5
"hsa-miR-3158-3p ",101,148,53,611,84,305
"hsa-miR-3158-5p ",8,20,3,49,7,19
"hsa-miR-3160-3p ",1,0,0,0,0,0
"hsa-miR-3160-5p ",1,0,0,0,0,0
"hsa-miR-3161 ",1,0,0,3,0,0
"hsa-miR-3162-5p ",1,0,0,0,0,0
"hsa-miR-3164 ",1,2,1,0,0,1
"hsa-miR-3165 ",1,0,0,0,0,1
"hsa-miR-3167 ",16,10,14,2,4,9
"hsa-miR-3170 ",4,0,3,0,1,5
"hsa-miR-3173-3p ",0,0,0,3,0,1
"hsa-miR-3173-5p ",3,5,3,1,2,4
"hsa-miR-3174 ",5,0,3,0,1,6
"hsa-miR-3175 ",0,0,0,0,1,1
"hsa-miR-3176 ",0,0,1,7,0,1
"hsa-miR-3177-3p ",3,3,1,2,2,7
"hsa-miR-3177-5p ",0,1,0,0,0,0
"hsa-miR-3179 ",6,5,5,0,6,1
"hsa-miR-3180 ",1,6,1,5,0,2
"hsa-miR-3180-3p ",5,13,5,20,2,9
"hsa-miR-3180-5p ",6,6,4,8,2,1
"hsa-miR-3183 ",3,0,0,2,1,1
"hsa-miR-3184-3p ",3008,3555,2808,7100,2913,6103
"hsa-miR-3184-5p ",1670,2100,1269,4945,1639,4164
"hsa-miR-3187-3p ",2,4,3,0,0,3
"hsa-miR-3187-5p ",0,0,1,4,0,2
"hsa-miR-3189-5p ",0,0,0,4,0,0
"hsa-miR-3190-3p ",0,3,0,4,1,1
"hsa-miR-3190-5p ",1,0,0,0,0,0
"hsa-miR-3191-3p ",1,0,0,0,0,1
"hsa-miR-3191-5p ",0,1,0,5,0,1
"hsa-miR-3192-5p ",1,0,1,9,1,1
"hsa-miR-3197 ",2,3,3,14,0,2
"hsa-miR-3198 ",1,1,0,2,0,0
"hsa-miR-3199 ",0,5,0,4,0,2
"hsa-miR-32-3p ",14,7,23,1,22,12
"hsa-miR-32-5p ",580,445,716,85,552,543
"hsa-miR-3200-3p ",4,4,3,8,1,7
"hsa-miR-3202 ",0,0,0,0,0,1
"hsa-miR-320a-3p ",7161,9635,4810,57650,6471,19302
"hsa-miR-320a-5p ",2,3,2,6,1,6
"hsa-miR-320b ",509,714,314,5794,467,1888
"hsa-miR-320c ",65,124,51,915,75,344
"hsa-miR-320d ",39,53,12,326,26,131
"hsa-miR-323a-3p ",462,482,519,101,257,222
"hsa-miR-323a-5p ",7,3,6,15,2,5
"hsa-miR-323b-3p ",299,390,316,51,218,121
"hsa-miR-323b-5p ",1,1,1,0,2,1
"hsa-miR-324-3p ",14,24,20,99,16,55
"hsa-miR-324-5p ",28,41,26,109,35,75
"hsa-miR-326 ",3,5,2,42,3,10
"hsa-miR-328-3p ",1038,1246,1021,3346,1038,1737
"hsa-miR-329-3p ",631,831,662,263,397,369
"hsa-miR-329-5p ",8,7,8,9,4,7
"hsa-miR-330-3p ",107,152,86,326,100,235
